Date,1M,2M,3M,4M,5M,6M,7M
2004/3/26,19.19169811,20.26285714,20.14730159,20.12111111,20.25593407,20.55692308,20.83054945
2004/3/29,18.546,19.785,19.74571429,19.69857143,19.92285714,20.39428571,20.82285714
2004/3/30,18.39306122,19.71107143,19.83,19.88714286,20.16615385,20.53208791,20.92241758
2004/3/31,18.809375,19.80714286,19.9547619,20.09761905,20.37483516,20.68142857,21.00846154
2004/4/1,18.73531915,19.61392857,19.82539683,20.12507937,20.44516484,20.78626374,21.10604396
2004/4/2,17.97152174,19.08285714,19.49904762,19.95111111,20.30054945,20.63461538,20.9478022
2004/4/5,17.53651163,18.5975,19.19857143,19.84142857,20.28747253,20.64021978,20.99296703
2004/4/6,17.88119048,18.79,19.45222222,20.16174603,20.55076923,20.84087912,21.15032967
2004/4/7,18.4402439,19.11464286,19.77365079,20.44984127,20.86824176,21.2078022,21.57
2004/4/8,18.56175,19.00178571,19.71904762,20.48603175,20.8132967,21.13681319,21.5498652
2004/4/12,18.105,18.9,19.60857143,20.34,20.67384615,21.01846154,21.46932601
2004/4/13,19.00857143,19.31301587,20.07253968,20.75032967,21.09120879,21.4010989,21.44919121
2004/4/14,19.00823529,19.49539683,19.91444444,20.29901099,20.77769231,21.21285714,21.42905641
2004/4/15,19.24060606,19.51571429,20.01857143,20.47087912,20.92054945,21.32934066,21.40892161
2004/4/16,19,19.50904762,19.91746032,20.34967033,20.81296703,21.29120879,21.38878681
2004/4/19,18.89892857,19.75666667,20.09619048,20.46923077,20.90868132,21.36230769,21.32838242
2004/4/20,19.20785714,20.03111111,20.32444444,20.63956044,21.13274725,21.5810989,21.30824762
2004/4/21,18.78928571,19.77428571,20.04666667,20.35450549,20.84769231,21.29604396,21.28811282
2004/4/22,17.65428571,18.91285714,19.38428571,19.82714286,20.34571429,20.81714286,21.26797802
2004/4/23,17.7775,19.23857143,19.59285714,20.01142857,20.49175824,20.98758242,21.24784322
2004/4/26,17.65285714,19.14888889,19.56714286,20.02384615,20.49736264,20.98615385,21.18743883
2004/4/27,17.43321429,19.0152381,19.5547619,20.03076923,20.53846154,21,21.16730403
2004/4/28,18.04857143,19.52142857,20.04,20.43582418,20.79846154,21.12813187,21.14716923
2004/4/29,18.705,19.92063492,20.46539683,20.81076923,21.06461538,21.29538462,21.12703443
2004/4/30,19.09321429,20.21,20.72428571,21.04307692,21.20461538,21.37692308,21.10689963
2004/5/3,18.59285714,19.73793651,20.37603175,20.73571429,20.90714286,21.09,21.04649524
2004/5/4,18.4575,19.65634921,20.29126984,20.62186813,20.86098901,21.08516484,21.02636044
2004/5/5,18.17,19.35,20.09666667,20.44197802,20.68461538,20.91208791,21.00622564
2004/5/6,18.9275,19.95428571,20.55904762,20.84318681,21.02450549,21.20582418,20.98609084
2004/5/7,19.53571429,20.45666667,21.0852381,21.25153846,21.31747253,21.3878022,20.96595604
2004/5/10,20.23714286,20.97777778,21.54444444,21.64868132,21.67835165,21.71,20.90555165
2004/5/11,19.91321429,20.48904762,21.04269841,21.18857143,21.32571429,21.67111722,20.88541685
2004/5/12,19.61,20.28412698,20.98,21.06175824,21.14615385,21.63223443,20.86528205
2004/5/13,19.59349206,20.03873016,20.43758242,20.6878022,20.91527473,21.59335165,20.84514725
2004/5/14,19.69825397,20.16444444,20.57296703,20.78692308,20.98142857,21.55446886,20.82501245
2004/5/17,20.25,20.69,21.05791209,21.14494505,21.22406593,21.43782051,20.76460806
2004/5/18,20.16238095,20.63968254,21.05384615,21.12538462,21.19923077,21.39893773,20.74447326
2004/5/19,19.34,20.09285714,20.73461538,20.88791209,21.04615385,21.36005495,20.72433846
2004/5/20,19.50888889,20.20555556,20.70604396,20.85472527,20.98989011,21.32117216,20.70420366
2004/5/21,19.41142857,20.29666667,20.88373626,20.97076923,21.04989011,21.28228938,20.68406886
2004/5/24,18.86642857,19.67857143,20.58164835,20.75208791,20.90703297,21.16564103,20.62366447
2004/5/25,17.73214286,18.82285714,19.91857143,20.20131868,20.49318681,21.12675824,20.60352967
2004/5/26,17.85,18.94971429,19.98461538,20.26054945,20.54538462,21.08787546,20.58339487
2004/5/27,17.64464286,18.94571429,19.89648352,20.26274725,20.59571429,21.04899267,20.56326007
2004/5/28,17.85428571,19.032,19.86813187,20.25615385,20.6089011,21.01010989,20.54312527
2004/6/1,17.94,19.15314286,19.93241758,20.30593407,20.64549451,20.85457875,20.46258608
2004/6/2,17.9875,19.07914286,19.83923077,20.19527473,20.57505495,20.81569597,20.44245128
2004/6/3,18.17357143,19.42028571,20.11824176,20.38857143,20.67692308,20.77681319,20.42231648
2004/6/4,18.29035714,19.65171429,20.20736264,20.50978022,20.7932967,20.7379304,20.40218168
2004/6/7,17.85714286,19.254,19.8321978,20.20846154,20.56120879,20.62128205,20.34177729
2004/6/8,17.67464286,19.13028571,19.73747253,20.09021978,20.44296703,20.58239927,20.32164249
2004/6/9,17.86,19.44571429,19.99923077,20.30912088,20.63967033,20.54351648,20.30150769
2004/6/10,17.63228571,19.50085714,20.03043956,20.32054945,20.63,20.5046337,20.28137289
2004/6/14,18.06485714,20.22257143,20.44824176,20.61703297,20.43567433,20.34910256,20.2008337
2004/6/15,17.452,19.82,20.10274725,20.39461538,20.38709291,20.31021978,20.1806989
2004/6/16,17.46342857,19.22923077,19.53384615,19.81076923,20.33851149,20.271337,20.1605641
2004/6/17,17.546,19.18912088,19.50461538,19.79142857,20.28993007,20.23245421,20.1404293
2004/6/18,17.49828571,19.20835165,19.52021978,19.80373626,20.24134865,20.19357143,20.12029451
2004/6/21,17.73828571,19.18461538,19.51846154,19.86307692,20.0956044,20.07692308,20.05989011
2004/6/22,17.31571429,18.76384615,19.13516484,19.51846154,19.79637363,19.88340659,19.97043956
2004/6/23,16.56257143,17.98164835,18.4421978,18.86087912,19.17857143,19.27054945,19.36846154
2004/6/24,16.912,18.36175824,18.77153846,19.14406593,19.42461538,19.52340659,19.62857143
2004/6/25,17.14285714,18.50285714,18.97428571,19.40285714,19.67153846,19.69692308,19.72076923
